cost_function,algorithm,k_star_percentage,k_star_percentage_label,node_removal_percentage,node_removal_label,removed_nodes,remaining_nodes,original_seed_size,surviving_seed_size,removed_seed_count,influenced_original,influenced_after_removal,influence_fraction_remaining,connected,number_of_components,largest_component_size,removed_node_list
c1_random,Greedy-f1,0.1,10%,0.01,1%,179,17724,3696,3661,35,16530,16296,0.919431279620853,False,12,17711,"[1400, 1958, 2167, 2969, 3003, 3421, 3824, 4790, 5523, 5541, 5668, 5674, 9320, 10172, 10490, 11176, 12187, 12927, 16442, 17440, 18685, 19204, 19575, 20715, 21149, 21192, 21458, 21471, 25063, 25351, 25385, 26359, 26849, 26897, 26899, 26915, 28293, 29738, 29890, 31077, 31638, 32663, 33351, 34868, 34869, 35363, 35961, 37540, 39385, 39460, 40108, 40607, 40781, 42068, 43652, 43731, 44948, 45055, 45272, 46532, 47331, 47731, 48542, 50449, 52978, 53034, 53214, 54102, 55495, 55519, 56237, 56608, 58707, 58955, 59432, 59465, 59594, 59716, 60425, 60612, 61359, 62049, 63173, 63505, 63924, 64680, 66880, 68673, 68758, 68880, 69047, 69057, 69303, 69428, 69525, 69595, 70163, 70479, 73553, 73904, 77322, 78476, 79052, 79108, 79379, 80400, 80440, 80600, 80692, 81491, 82286, 82485, 83663, 83696, 85973, 87376, 88017, 88481, 88496, 90113, 90416, 90919, 92016, 92447, 93174, 94144, 97026, 97608, 97872, 97904, 97922, 99242, 99449, 100424, 101556, 101611, 104040, 105196, 105318, 105827, 105840, 107124, 107636, 108211, 109204, 110796, 111932, 112075, 112491, 112529, 113308, 114535, 114537, 114715, 117097, 117297, 117422, 117832, 117953, 119083, 119181, 119197, 120177, 120321, 120947, 123541, 124306, 126291, 126298, 126488, 127606, 128012, 128183, 128839, 129140, 129883, 130836, 130942, 132594]"
c1_random,Greedy-f2,0.1,10%,0.01,1%,179,17724,3727,3694,33,16492,16234,0.9159331979237193,False,12,17711,"[1400, 1958, 2167, 2969, 3003, 3421, 3824, 4790, 5523, 5541, 5668, 5674, 9320, 10172, 10490, 11176, 12187, 12927, 16442, 17440, 18685, 19204, 19575, 20715, 21149, 21192, 21458, 21471, 25063, 25351, 25385, 26359, 26849, 26897, 26899, 26915, 28293, 29738, 29890, 31077, 31638, 32663, 33351, 34868, 34869, 35363, 35961, 37540, 39385, 39460, 40108, 40607, 40781, 42068, 43652, 43731, 44948, 45055, 45272, 46532, 47331, 47731, 48542, 50449, 52978, 53034, 53214, 54102, 55495, 55519, 56237, 56608, 58707, 58955, 59432, 59465, 59594, 59716, 60425, 60612, 61359, 62049, 63173, 63505, 63924, 64680, 66880, 68673, 68758, 68880, 69047, 69057, 69303, 69428, 69525, 69595, 70163, 70479, 73553, 73904, 77322, 78476, 79052, 79108, 79379, 80400, 80440, 80600, 80692, 81491, 82286, 82485, 83663, 83696, 85973, 87376, 88017, 88481, 88496, 90113, 90416, 90919, 92016, 92447, 93174, 94144, 97026, 97608, 97872, 97904, 97922, 99242, 99449, 100424, 101556, 101611, 104040, 105196, 105318, 105827, 105840, 107124, 107636, 108211, 109204, 110796, 111932, 112075, 112491, 112529, 113308, 114535, 114537, 114715, 117097, 117297, 117422, 117832, 117953, 119083, 119181, 119197, 120177, 120321, 120947, 123541, 124306, 126291, 126298, 126488, 127606, 128012, 128183, 128839, 129140, 129883, 130836, 130942, 132594]"
c1_random,Greedy-f3,0.1,10%,0.01,1%,179,17724,3806,3768,38,17009,16841,0.9501805461521101,False,12,17711,"[1400, 1958, 2167, 2969, 3003, 3421, 3824, 4790, 5523, 5541, 5668, 5674, 9320, 10172, 10490, 11176, 12187, 12927, 16442, 17440, 18685, 19204, 19575, 20715, 21149, 21192, 21458, 21471, 25063, 25351, 25385, 26359, 26849, 26897, 26899, 26915, 28293, 29738, 29890, 31077, 31638, 32663, 33351, 34868, 34869, 35363, 35961, 37540, 39385, 39460, 40108, 40607, 40781, 42068, 43652, 43731, 44948, 45055, 45272, 46532, 47331, 47731, 48542, 50449, 52978, 53034, 53214, 54102, 55495, 55519, 56237, 56608, 58707, 58955, 59432, 59465, 59594, 59716, 60425, 60612, 61359, 62049, 63173, 63505, 63924, 64680, 66880, 68673, 68758, 68880, 69047, 69057, 69303, 69428, 69525, 69595, 70163, 70479, 73553, 73904, 77322, 78476, 79052, 79108, 79379, 80400, 80440, 80600, 80692, 81491, 82286, 82485, 83663, 83696, 85973, 87376, 88017, 88481, 88496, 90113, 90416, 90919, 92016, 92447, 93174, 94144, 97026, 97608, 97872, 97904, 97922, 99242, 99449, 100424, 101556, 101611, 104040, 105196, 105318, 105827, 105840, 107124, 107636, 108211, 109204, 110796, 111932, 112075, 112491, 112529, 113308, 114535, 114537, 114715, 117097, 117297, 117422, 117832, 117953, 119083, 119181, 119197, 120177, 120321, 120947, 123541, 124306, 126291, 126298, 126488, 127606, 128012, 128183, 128839, 129140, 129883, 130836, 130942, 132594]"
c1_random,WTSS,0.1,10%,0.01,1%,179,17724,3264,3236,28,17903,17706,0.9989844278943805,False,12,17711,"[1400, 1958, 2167, 2969, 3003, 3421, 3824, 4790, 5523, 5541, 5668, 5674, 9320, 10172, 10490, 11176, 12187, 12927, 16442, 17440, 18685, 19204, 19575, 20715, 21149, 21192, 21458, 21471, 25063, 25351, 25385, 26359, 26849, 26897, 26899, 26915, 28293, 29738, 29890, 31077, 31638, 32663, 33351, 34868, 34869, 35363, 35961, 37540, 39385, 39460, 40108, 40607, 40781, 42068, 43652, 43731, 44948, 45055, 45272, 46532, 47331, 47731, 48542, 50449, 52978, 53034, 53214, 54102, 55495, 55519, 56237, 56608, 58707, 58955, 59432, 59465, 59594, 59716, 60425, 60612, 61359, 62049, 63173, 63505, 63924, 64680, 66880, 68673, 68758, 68880, 69047, 69057, 69303, 69428, 69525, 69595, 70163, 70479, 73553, 73904, 77322, 78476, 79052, 79108, 79379, 80400, 80440, 80600, 80692, 81491, 82286, 82485, 83663, 83696, 85973, 87376, 88017, 88481, 88496, 90113, 90416, 90919, 92016, 92447, 93174, 94144, 97026, 97608, 97872, 97904, 97922, 99242, 99449, 100424, 101556, 101611, 104040, 105196, 105318, 105827, 105840, 107124, 107636, 108211, 109204, 110796, 111932, 112075, 112491, 112529, 113308, 114535, 114537, 114715, 117097, 117297, 117422, 117832, 117953, 119083, 119181, 119197, 120177, 120321, 120947, 123541, 124306, 126291, 126298, 126488, 127606, 128012, 128183, 128839, 129140, 129883, 130836, 130942, 132594]"
c1_random,My-Seeds,0.1,10%,0.01,1%,179,17724,4200,4153,47,16796,16617,0.9375423155044008,False,12,17711,"[1400, 1958, 2167, 2969, 3003, 3421, 3824, 4790, 5523, 5541, 5668, 5674, 9320, 10172, 10490, 11176, 12187, 12927, 16442, 17440, 18685, 19204, 19575, 20715, 21149, 21192, 21458, 21471, 25063, 25351, 25385, 26359, 26849, 26897, 26899, 26915, 28293, 29738, 29890, 31077, 31638, 32663, 33351, 34868, 34869, 35363, 35961, 37540, 39385, 39460, 40108, 40607, 40781, 42068, 43652, 43731, 44948, 45055, 45272, 46532, 47331, 47731, 48542, 50449, 52978, 53034, 53214, 54102, 55495, 55519, 56237, 56608, 58707, 58955, 59432, 59465, 59594, 59716, 60425, 60612, 61359, 62049, 63173, 63505, 63924, 64680, 66880, 68673, 68758, 68880, 69047, 69057, 69303, 69428, 69525, 69595, 70163, 70479, 73553, 73904, 77322, 78476, 79052, 79108, 79379, 80400, 80440, 80600, 80692, 81491, 82286, 82485, 83663, 83696, 85973, 87376, 88017, 88481, 88496, 90113, 90416, 90919, 92016, 92447, 93174, 94144, 97026, 97608, 97872, 97904, 97922, 99242, 99449, 100424, 101556, 101611, 104040, 105196, 105318, 105827, 105840, 107124, 107636, 108211, 109204, 110796, 111932, 112075, 112491, 112529, 113308, 114535, 114537, 114715, 117097, 117297, 117422, 117832, 117953, 119083, 119181, 119197, 120177, 120321, 120947, 123541, 124306, 126291, 126298, 126488, 127606, 128012, 128183, 128839, 129140, 129883, 130836, 130942, 132594]"
c2_degree,Greedy-f1,0.1,10%,0.01,1%,179,17724,1807,1790,17,2445,2430,0.13710223425863236,False,12,17711,"[1400, 1958, 2167, 2969, 3003, 3421, 3824, 4790, 5523, 5541, 5668, 5674, 9320, 10172, 10490, 11176, 12187, 12927, 16442, 17440, 18685, 19204, 19575, 20715, 21149, 21192, 21458, 21471, 25063, 25351, 25385, 26359, 26849, 26897, 26899, 26915, 28293, 29738, 29890, 31077, 31638, 32663, 33351, 34868, 34869, 35363, 35961, 37540, 39385, 39460, 40108, 40607, 40781, 42068, 43652, 43731, 44948, 45055, 45272, 46532, 47331, 47731, 48542, 50449, 52978, 53034, 53214, 54102, 55495, 55519, 56237, 56608, 58707, 58955, 59432, 59465, 59594, 59716, 60425, 60612, 61359, 62049, 63173, 63505, 63924, 64680, 66880, 68673, 68758, 68880, 69047, 69057, 69303, 69428, 69525, 69595, 70163, 70479, 73553, 73904, 77322, 78476, 79052, 79108, 79379, 80400, 80440, 80600, 80692, 81491, 82286, 82485, 83663, 83696, 85973, 87376, 88017, 88481, 88496, 90113, 90416, 90919, 92016, 92447, 93174, 94144, 97026, 97608, 97872, 97904, 97922, 99242, 99449, 100424, 101556, 101611, 104040, 105196, 105318, 105827, 105840, 107124, 107636, 108211, 109204, 110796, 111932, 112075, 112491, 112529, 113308, 114535, 114537, 114715, 117097, 117297, 117422, 117832, 117953, 119083, 119181, 119197, 120177, 120321, 120947, 123541, 124306, 126291, 126298, 126488, 127606, 128012, 128183, 128839, 129140, 129883, 130836, 130942, 132594]"
c2_degree,Greedy-f2,0.1,10%,0.01,1%,179,17724,1327,1316,11,1386,1374,0.07752200406228842,False,12,17711,"[1400, 1958, 2167, 2969, 3003, 3421, 3824, 4790, 5523, 5541, 5668, 5674, 9320, 10172, 10490, 11176, 12187, 12927, 16442, 17440, 18685, 19204, 19575, 20715, 21149, 21192, 21458, 21471, 25063, 25351, 25385, 26359, 26849, 26897, 26899, 26915, 28293, 29738, 29890, 31077, 31638, 32663, 33351, 34868, 34869, 35363, 35961, 37540, 39385, 39460, 40108, 40607, 40781, 42068, 43652, 43731, 44948, 45055, 45272, 46532, 47331, 47731, 48542, 50449, 52978, 53034, 53214, 54102, 55495, 55519, 56237, 56608, 58707, 58955, 59432, 59465, 59594, 59716, 60425, 60612, 61359, 62049, 63173, 63505, 63924, 64680, 66880, 68673, 68758, 68880, 69047, 69057, 69303, 69428, 69525, 69595, 70163, 70479, 73553, 73904, 77322, 78476, 79052, 79108, 79379, 80400, 80440, 80600, 80692, 81491, 82286, 82485, 83663, 83696, 85973, 87376, 88017, 88481, 88496, 90113, 90416, 90919, 92016, 92447, 93174, 94144, 97026, 97608, 97872, 97904, 97922, 99242, 99449, 100424, 101556, 101611, 104040, 105196, 105318, 105827, 105840, 107124, 107636, 108211, 109204, 110796, 111932, 112075, 112491, 112529, 113308, 114535, 114537, 114715, 117097, 117297, 117422, 117832, 117953, 119083, 119181, 119197, 120177, 120321, 120947, 123541, 124306, 126291, 126298, 126488, 127606, 128012, 128183, 128839, 129140, 129883, 130836, 130942, 132594]"
c2_degree,Greedy-f3,0.1,10%,0.01,1%,179,17724,2666,2642,24,4157,4145,0.23386368765515686,False,12,17711,"[1400, 1958, 2167, 2969, 3003, 3421, 3824, 4790, 5523, 5541, 5668, 5674, 9320, 10172, 10490, 11176, 12187, 12927, 16442, 17440, 18685, 19204, 19575, 20715, 21149, 21192, 21458, 21471, 25063, 25351, 25385, 26359, 26849, 26897, 26899, 26915, 28293, 29738, 29890, 31077, 31638, 32663, 33351, 34868, 34869, 35363, 35961, 37540, 39385, 39460, 40108, 40607, 40781, 42068, 43652, 43731, 44948, 45055, 45272, 46532, 47331, 47731, 48542, 50449, 52978, 53034, 53214, 54102, 55495, 55519, 56237, 56608, 58707, 58955, 59432, 59465, 59594, 59716, 60425, 60612, 61359, 62049, 63173, 63505, 63924, 64680, 66880, 68673, 68758, 68880, 69047, 69057, 69303, 69428, 69525, 69595, 70163, 70479, 73553, 73904, 77322, 78476, 79052, 79108, 79379, 80400, 80440, 80600, 80692, 81491, 82286, 82485, 83663, 83696, 85973, 87376, 88017, 88481, 88496, 90113, 90416, 90919, 92016, 92447, 93174, 94144, 97026, 97608, 97872, 97904, 97922, 99242, 99449, 100424, 101556, 101611, 104040, 105196, 105318, 105827, 105840, 107124, 107636, 108211, 109204, 110796, 111932, 112075, 112491, 112529, 113308, 114535, 114537, 114715, 117097, 117297, 117422, 117832, 117953, 119083, 119181, 119197, 120177, 120321, 120947, 123541, 124306, 126291, 126298, 126488, 127606, 128012, 128183, 128839, 129140, 129883, 130836, 130942, 132594]"
c2_degree,WTSS,0.1,10%,0.01,1%,179,17724,3289,3249,40,3822,3777,0.21310088016249154,False,12,17711,"[1400, 1958, 2167, 2969, 3003, 3421, 3824, 4790, 5523, 5541, 5668, 5674, 9320, 10172, 10490, 11176, 12187, 12927, 16442, 17440, 18685, 19204, 19575, 20715, 21149, 21192, 21458, 21471, 25063, 25351, 25385, 26359, 26849, 26897, 26899, 26915, 28293, 29738, 29890, 31077, 31638, 32663, 33351, 34868, 34869, 35363, 35961, 37540, 39385, 39460, 40108, 40607, 40781, 42068, 43652, 43731, 44948, 45055, 45272, 46532, 47331, 47731, 48542, 50449, 52978, 53034, 53214, 54102, 55495, 55519, 56237, 56608, 58707, 58955, 59432, 59465, 59594, 59716, 60425, 60612, 61359, 62049, 63173, 63505, 63924, 64680, 66880, 68673, 68758, 68880, 69047, 69057, 69303, 69428, 69525, 69595, 70163, 70479, 73553, 73904, 77322, 78476, 79052, 79108, 79379, 80400, 80440, 80600, 80692, 81491, 82286, 82485, 83663, 83696, 85973, 87376, 88017, 88481, 88496, 90113, 90416, 90919, 92016, 92447, 93174, 94144, 97026, 97608, 97872, 97904, 97922, 99242, 99449, 100424, 101556, 101611, 104040, 105196, 105318, 105827, 105840, 107124, 107636, 108211, 109204, 110796, 111932, 112075, 112491, 112529, 113308, 114535, 114537, 114715, 117097, 117297, 117422, 117832, 117953, 119083, 119181, 119197, 120177, 120321, 120947, 123541, 124306, 126291, 126298, 126488, 127606, 128012, 128183, 128839, 129140, 129883, 130836, 130942, 132594]"
c2_degree,My-Seeds,0.1,10%,0.01,1%,179,17724,4236,4200,36,4511,4475,0.2524825095915143,False,12,17711,"[1400, 1958, 2167, 2969, 3003, 3421, 3824, 4790, 5523, 5541, 5668, 5674, 9320, 10172, 10490, 11176, 12187, 12927, 16442, 17440, 18685, 19204, 19575, 20715, 21149, 21192, 21458, 21471, 25063, 25351, 25385, 26359, 26849, 26897, 26899, 26915, 28293, 29738, 29890, 31077, 31638, 32663, 33351, 34868, 34869, 35363, 35961, 37540, 39385, 39460, 40108, 40607, 40781, 42068, 43652, 43731, 44948, 45055, 45272, 46532, 47331, 47731, 48542, 50449, 52978, 53034, 53214, 54102, 55495, 55519, 56237, 56608, 58707, 58955, 59432, 59465, 59594, 59716, 60425, 60612, 61359, 62049, 63173, 63505, 63924, 64680, 66880, 68673, 68758, 68880, 69047, 69057, 69303, 69428, 69525, 69595, 70163, 70479, 73553, 73904, 77322, 78476, 79052, 79108, 79379, 80400, 80440, 80600, 80692, 81491, 82286, 82485, 83663, 83696, 85973, 87376, 88017, 88481, 88496, 90113, 90416, 90919, 92016, 92447, 93174, 94144, 97026, 97608, 97872, 97904, 97922, 99242, 99449, 100424, 101556, 101611, 104040, 105196, 105318, 105827, 105840, 107124, 107636, 108211, 109204, 110796, 111932, 112075, 112491, 112529, 113308, 114535, 114537, 114715, 117097, 117297, 117422, 117832, 117953, 119083, 119181, 119197, 120177, 120321, 120947, 123541, 124306, 126291, 126298, 126488, 127606, 128012, 128183, 128839, 129140, 129883, 130836, 130942, 132594]"
